date,num_words,num_secs,elapsed_secs,wpm,accuracy,std_dev
Sun Aug 18 18:07:58 2024,15,,9.17,101,100,3.62
Sun Aug 18 18:08:28 2024,15,,6.54,120,100,1.12
Sun Aug 18 18:41:57 2024,15,,7.13,119,98,1.88
Fri Aug 23 21:00:39 2024,15,,6.42,134,100,1.00
Sat Aug 24 21:00:57 2024,15,,7.42,114,100,2.76
Sat Aug 24 21:01:24 2024,15,,6.22,131,100,0.69
Sun Aug 25 19:49:09 2024,15,,7.98,114,95,4.34
Sat Aug 31 17:22:09 2024,15,,7.47,125,100,1.73
Fri Sep 20 13:36:39 2024,15,,6.74,120,100,1.25
Sun Sep 22 10:41:37 2024,15,,6.62,136,100,1.41
Sat Sep 28 12:48:09 2024,15,,6.49,132,100,0.58
Sat Sep 28 12:51:10 2024,15,,8.14,114,100,2.78
Sun Sep 29 10:24:55 2024,15,,6.25,120,100,1.57
Sun Sep 29 10:51:41 2024,15,,7.18,125,100,1.05
Thu Oct  3 17:30:59 2024,15,,6.79,131,100,1.00
Thu Oct  3 17:33:36 2024,15,,9.23,92,94,3.89
